State,Sex,Year,Name,Number,Percent
TIRANE,F,2013,Rosela,3,0.02
TIRANE,F,2013,Rovena,2,0.01
TIRANE,F,2013,Rozana,1,0.01
TIRANE,F,2013,Rozarta,1,0.01
TIRANE,F,2013,Rozmari,1,0.01
TIRANE,F,2013,Rubena,1,0.01
TIRANE,F,2013,Ruberla,1,0.01
TIRANE,F,2013,Rubi,1,0.01
TIRANE,F,2013,Rubina,2,0.01
TIRANE,F,2013,Rudjana,1,0.01
TIRANE,F,2013,Ruejda,1,0.01
TIRANE,F,2013,Rukie,1,0.01
TIRANE,F,2013,Rumeisa,1,0.01
TIRANE,F,2013,Rumejsa,3,0.02
TIRANE,F,2013,Rumesa,1,0.01
TIRANE,F,2013,Rusida,1,0.01
TIRANE,F,2013,Sabina,9,0.05
TIRANE,F,2013,Sabjana,1,0.01
TIRANE,F,2013,Sabrina,2,0.01
TIRANE,F,2013,Safiye Sena,1,0.01
TIRANE,F,2013,Saimina,1,0.01
TIRANE,F,2013,Saira,1,0.01
TIRANE,F,2013,Sajanta,1,0.01
TIRANE,F,2013,Sajmonda,1,0.01
TIRANE,F,2013,Sajna,2,0.01
TIRANE,F,2013,Salma,3,0.02
TIRANE,F,2013,Salmina,1,0.01
TIRANE,F,2013,Samanda,2,0.01
TIRANE,F,2013,Samanta,9,0.05
TIRANE,F,2013,Samara,1,0.01
TIRANE,F,2013,Samela,4,0.02
TIRANE,F,2013,Samelia,1,0.01
TIRANE,F,2013,Samelja,1,0.01
TIRANE,F,2013,Samina,1,0.01
TIRANE,F,2013,Samuela,3,0.02
TIRANE,F,2013,Sanie,2,0.01
TIRANE,F,2013,Saniela,1,0.01
TIRANE,F,2013,Sanja,3,0.02
TIRANE,F,2013,Santjola,2,0.01
TIRANE,F,2013,Sara,42,0.25
TIRANE,F,2013,Sarah,3,0.02
TIRANE,F,2013,Sarda,1,0.01
TIRANE,F,2013,Savana,1,0.01
TIRANE,F,2013,Seana,1,0.01
TIRANE,F,2013,Sedine,1,0.01
TIRANE,F,2013,Segda,1,0.01
TIRANE,F,2013,Segi,1,0.01
TIRANE,F,2013,Seida,2,0.01
TIRANE,F,2013,Sejda,1,0.01
TIRANE,F,2013,Selda,1,0.01
TIRANE,F,2013,Selena,10,0.06
TIRANE,F,2013,Selina,1,0.01
TIRANE,F,2013,Selja,1,0.01
TIRANE,F,2013,Selma,8,0.05
TIRANE,F,2013,Selvie,1,0.01
TIRANE,F,2013,Semina,1,0.01
TIRANE,F,2013,Semiramida,1,0.01
